Architecture,CompRatio,BPP,CodestreamKB,PSNR_dB,SSIM,ClockCycles,TargetSlope
Exact PCRD (Reference),4:1,1.2470,39.90,53.88,0.9999,14912,0.00
Exact PCRD (Reference),8:1,0.9853,31.53,50.98,0.9999,14912,27.70
Exact PCRD (Reference),16:1,0.4868,15.58,43.63,0.9993,14912,1968.97
Exact PCRD (Reference),32:1,0.2391,7.65,36.46,0.9966,14912,253976.34
Traditional (Int-Div + 480 LUT),4:1,1.2470,39.90,53.88,0.9999,15872,0.00
Traditional (Int-Div + 480 LUT),8:1,0.9983,31.94,51.09,0.9999,15872,77.00
Traditional (Int-Div + 480 LUT),16:1,0.4910,15.71,43.74,0.9994,15872,175.00
Traditional (Int-Div + 480 LUT),32:1,0.2495,7.98,36.47,0.9966,15872,287.00
Proposed (Log-LUT + 43 LUT),4:1,1.2470,39.90,53.88,0.9999,14998,0.00
Proposed (Log-LUT + 43 LUT),8:1,0.9980,31.93,51.08,0.9999,14998,100.00
Proposed (Log-LUT + 43 LUT),16:1,0.4882,15.62,44.05,0.9994,14998,195.00
Proposed (Log-LUT + 43 LUT),32:1,0.2495,7.98,36.58,0.9967,14998,300.00
