Architecture,CompRatio,BPP,CodestreamKB,PSNR_dB,SSIM,ClockCycles,TargetSlope
Exact PCRD (Reference),4:1,1.9995,63.98,45.21,0.9997,14912,110.88
Exact PCRD (Reference),8:1,0.9986,31.96,38.14,0.9983,14912,1666.36
Exact PCRD (Reference),16:1,0.5000,16.00,35.02,0.9965,14912,7348.74
Exact PCRD (Reference),32:1,0.2478,7.93,30.48,0.9899,14912,957506.78
Traditional (Int-Div + 480 LUT),4:1,1.9977,63.93,45.27,0.9997,15872,109.00
Traditional (Int-Div + 480 LUT),8:1,0.9993,31.98,38.23,0.9983,15872,171.00
Traditional (Int-Div + 480 LUT),16:1,0.5000,16.00,35.02,0.9965,15872,205.00
Traditional (Int-Div + 480 LUT),32:1,0.2478,7.93,30.48,0.9899,15872,318.00
Proposed (Log-LUT + 43 LUT),4:1,1.9997,63.99,46.68,0.9998,14998,125.00
Proposed (Log-LUT + 43 LUT),8:1,0.9981,31.94,38.73,0.9985,14998,190.00
Proposed (Log-LUT + 43 LUT),16:1,0.4989,15.97,35.34,0.9967,14998,225.00
Proposed (Log-LUT + 43 LUT),32:1,0.2477,7.93,30.48,0.9899,14998,480.00
